income_hr,education,sex,age,urban_rural,province,sector,hours_worked
1666.6666,University,Female,22,Urban,Kigali city,Services,45.0
148.80952,Upper_secondary,Female,25,Urban,Kigali city,Services,42.0
89.28571,Primary,Female,20,Urban,Kigali city,Services,84.0
104.166664,Primary,Male,19,Urban,Kigali city,Services,48.0
464.2857,Lower_secondary,Male,24,Rural,Kigali city,Services,42.0
541.6667,Lower_secondary,Female,22,Rural,Kigali city,Industry,48.0
115.55556,Primary,Female,22,Rural,Kigali city,Agriculture,45.0
180.55556,Primary,Male,20,Rural,Kigali city,Agriculture,36.0
39.0625,Primary,Male,18,Rural,Kigali city,Services,64.0
69.44444,Primary,Male,18,Rural,Kigali city,Services,72.0
135.41667,Upper_secondary,Male,28,Rural,Kigali city,Industry,48.0
59.52381,Primary,Female,20,Rural,Kigali city,Services,84.0
59.52381,Primary,Female,22,Rural,Kigali city,Services,84.0
348.2143,Primary,Female,28,Rural,Kigali city,Industry,28.0
1388.8889,University,Male,29,Rural,Kigali city,Services,54.0
60.48387,Lower_secondary,Female,16,Rural,Kigali city,Services,62.0
78.703705,Primary,Male,20,Rural,Kigali city,Services,54.0
379.16666,Primary,Female,28,Rural,Kigali city,Agriculture,12.0
180.55556,Primary,Male,27,Rural,Kigali city,Agriculture,36.0
866.6667,Upper_secondary,Male,30,Urban,Kigali city,Industry,30.0
481.48148,Primary,Female,24,Urban,Kigali city,Industry,27.0
135.41667,Primary,Male,16,Urban,Kigali city,Agriculture,24.0
2166.6667,Lower_secondary,Female,18,Urban,Kigali city,Industry,18.0
78.125,Lower_secondary,Female,23,Urban,Kigali city,Services,48.0
1238.0952,Upper_secondary,Male,28,Urban,Kigali city,Services,42.0
555.55554,Upper_secondary,Female,23,Urban,Kigali city,Services,45.0
52.083332,Primary,Female,23,Urban,Kigali city,Services,48.0
208.33333,Upper_secondary,Male,23,Urban,Kigali city,Services,48.0
76.53061,Primary,Female,18,Rural,Kigali city,Services,49.0
433.33334,Primary,Female,16,Rural,Kigali city,Industry,45.0
281.66666,Primary,Female,29,Rural,Kigali city,Agriculture,30.0
180.55556,Primary,Female,21,Rural,Kigali city,Agriculture,36.0
260.0,Primary,Female,27,Rural,Kigali city,Agriculture,25.0
5909.091,Upper_secondary,Male,22,Rural,Southern Province,Industry,11.0
130.0,Primary,Male,18,Rural,Southern Province,Agriculture,20.0
189.58333,Primary,Male,25,Rural,Southern Province,Agriculture,24.0
216.66667,Primary,Male,29,Rural,Southern Province,Industry,45.0
541.6667,Primary,Male,21,Rural,Southern Province,Industry,24.0
260.0,Primary,Female,24,Rural,Southern Province,Agriculture,20.0
62.5,Primary,Female,17,Urban,Southern Province,Services,40.0
433.33334,Lower_secondary,Female,30,Urban,Southern Province,Agriculture,12.0
239.79591,Upper_secondary,Male,28,Urban,Southern Province,Services,49.0
93.75,Lower_secondary,Female,18,Urban,Southern Province,Services,40.0
107.14286,Primary,Female,26,Urban,Southern Province,Services,42.0
89.28571,Primary,Female,20,Urban,Southern Province,Services,42.0
244.44444,University,Female,28,Urban,Southern Province,Services,45.0
108.333336,Primary,Female,18,Rural,Southern Province,Services,36.0
406.25,Primary,Male,27,Rural,Southern Province,Services,48.0
371.42856,Primary,Male,18,Rural,Western Province,Services,35.0
541.6667,Primary,Male,29,Urban,Western Province,Industry,18.0
230.15874,Primary,Male,27,Urban,Western Province,Industry,63.0
2437.5,Lower_secondary,Male,27,Rural,Western Province,Industry,8.0
58.333332,Primary,Female,16,Rural,Western Province,Services,30.0
250.0,University,Male,29,Rural,Western Province,Agriculture,45.0
180.55556,Primary,Female,23,Rural,Western Province,Agriculture,36.0
203.125,Primary,Male,19,Rural,Western Province,Industry,48.0
243.75,Primary,Male,22,Rural,Western Province,Industry,48.0
156.0,Primary,Female,26,Rural,Northern Province,Agriculture,25.0
156.0,Primary,Female,28,Rural,Northern Province,Agriculture,25.0
130.0,Primary,Male,27,Rural,Northern Province,Agriculture,25.0
216.66667,Upper_secondary,Male,25,Rural,Northern Province,Industry,30.0
222.85715,Primary,Male,26,Rural,Northern Province,Industry,35.0
216.66667,Lower_secondary,Female,30,Rural,Northern Province,Agriculture,18.0
325.0,Lower_secondary,Female,25,Rural,Northern Province,Agriculture,12.0
492.42426,Upper_secondary,Male,29,Rural,Northern Province,Industry,66.0
135.41667,Primary,Female,21,Rural,Northern Province,Agriculture,24.0
55.555557,Primary,Male,23,Urban,Northern Province,Services,90.0
76.53061,Primary,Female,20,Urban,Northern Province,Services,49.0
361.1111,Upper_secondary,Male,21,Urban,Northern Province,Industry,54.0
222.22223,Upper_secondary,Female,24,Urban,Northern Province,Services,45.0
1083.3334,Upper_secondary,Male,30,Urban,Northern Province,Industry,30.0
162.5,Primary,Male,30,Rural,Northern Province,Industry,40.0
